_id,model_year,make,model,vehicle_class,motor_(kw),transmission,fuel_type,city_(kwh/100_km),highway_(kwh/100_km),combined_(kwh/100_km),city_(le/100_km),highway_(le/100_km),combined_(le/100_km),range_(km),co2_emissions_(g/km),co2_rating,smog_rating,recharge_time_(h),display_name
25742,2022,Lucid,"Air Grand Touring AWD (19"" Wheels) Full-size 611 kW Automatic 1-Gear",Full-size,611,A1,B,16.1,15.8,16.0,1.8,1.8,1.8,830,0,10,10,13,"2022 Lucid Air Grand Touring AWD (19"" Wheels) Full-size 611 kW Automatic 1-Gear"
25743,2022,Lucid,"Air Grand Touring AWD (21"" Wheels) Full-size 611 kW Automatic 1-Gear",Full-size,611,A1,B,17.4,17.1,17.3,2.0,1.9,1.9,755,0,10,10,13,"2022 Lucid Air Grand Touring AWD (21"" Wheels) Full-size 611 kW Automatic 1-Gear"
25744,2022,Mazda,MX-30 Mid-size 107 kW Automatic 1-Gear,Mid-size,107,A1,B,21.4,24.6,22.8,2.4,2.8,2.6,161,0,10,10,5.3,2022 Mazda MX-30 Mid-size 107 kW Automatic 1-Gear
25745,2022,Mercedes-Benz,EQB 350 4MATIC SUV Sport utility vehicle: Small 215 kW Automatic 1-Gear,Sport utility vehicle: Small,215,A1,B,21.1,22.4,21.7,2.4,2.5,2.5,365,0,10,10,7.5,2022 Mercedes-Benz EQB 350 4MATIC SUV Sport utility vehicle: Small 215 kW Automatic 1-Gear
25746,2022,Mercedes-Benz,EQS 580 4MATIC Sedan Full-size 385 kW Automatic 1-Gear,Full-size,385,A1,B,23.0,21.1,22.4,2.6,2.4,2.5,547,0,10,10,11.25,2022 Mercedes-Benz EQS 580 4MATIC Sedan Full-size 385 kW Automatic 1-Gear
25747,2022,MINI,Cooper SE 3 Door Subcompact 135 kW Automatic 1-Gear,Subcompact,135,A1,B,17.6,20.9,19.1,2.0,2.3,2.1,183,0,10,10,4,2022 MINI Cooper SE 3 Door Subcompact 135 kW Automatic 1-Gear
25748,2022,Nissan,LEAF (40 kWh) Mid-size 110 kW Automatic 1-Gear,Mid-size,110,A1,B,17.0,21.2,18.9,1.9,2.4,2.1,240,0,10,10,8,2022 Nissan LEAF (40 kWh) Mid-size 110 kW Automatic 1-Gear
25749,2022,Nissan,LEAF S PLUS Mid-size 160 kW Automatic 1-Gear,Mid-size,160,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363,0,10,10,11,2022 Nissan LEAF S PLUS Mid-size 160 kW Automatic 1-Gear
25750,2022,Nissan,LEAF SV/SL PLUS Mid-size 160 kW Automatic 1-Gear,Mid-size,160,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349,0,10,10,11,2022 Nissan LEAF SV/SL PLUS Mid-size 160 kW Automatic 1-Gear
25751,2022,Polestar,2 Single Motor Mid-size 170 kW Automatic 1-Gear,Mid-size,170,A1,B,18.5,20.9,19.6,2.1,2.3,2.2,435,0,10,10,8,2022 Polestar 2 Single Motor Mid-size 170 kW Automatic 1-Gear
25752,2022,Polestar,2 Dual Motor Mid-size 300 kW Automatic 1-Gear,Mid-size,300,A1,B,22.4,24.9,23.5,2.5,2.8,2.6,401,0,10,10,8,2022 Polestar 2 Dual Motor Mid-size 300 kW Automatic 1-Gear
25753,2022,Porsche,Taycan 4 Cross Turismo Mid-size 280 kW Automatic 2-Gear,Mid-size,280,A2,B,27.5,27.2,27.4,3.1,3.1,3.1,346,0,10,10,10.5,2022 Porsche Taycan 4 Cross Turismo Mid-size 280 kW Automatic 2-Gear
25754,2022,Porsche,Taycan 4S (Performance Battery) Compact 320 kW Automatic 2-Gear,Compact,320,A2,B,26.6,26.1,26.4,3.0,2.9,3.0,320,0,10,10,9.5,2022 Porsche Taycan 4S (Performance Battery) Compact 320 kW Automatic 2-Gear
25755,2022,Porsche,Taycan 4S (Performance Battery Plus) Compact 360 kW Automatic 2-Gear,Compact,360,A2,B,28.0,25.8,27.3,3.1,2.9,3.0,365,0,10,10,10.5,2022 Porsche Taycan 4S (Performance Battery Plus) Compact 360 kW Automatic 2-Gear
25756,2022,Porsche,Taycan 4S Cross Turismo Mid-size 360 kW Automatic 2-Gear,Mid-size,360,A2,B,28.0,28.0,28.0,3.1,3.1,3.1,346,0,10,10,10.5,2022 Porsche Taycan 4S Cross Turismo Mid-size 360 kW Automatic 2-Gear
25757,2022,Porsche,Taycan GTS Compact 380 kW Automatic 2-Gear,Compact,380,A2,B,25.1,25.5,25.3,2.8,2.9,2.8,396,0,10,10,10.5,2022 Porsche Taycan GTS Compact 380 kW Automatic 2-Gear
25758,2022,Porsche,Taycan GTS Sport Turismo Compact 380 kW Automatic 2-Gear,Compact,380,A2,B,26.1,26.2,26.2,2.9,2.9,2.9,375,0,10,10,10.5,2022 Porsche Taycan GTS Sport Turismo Compact 380 kW Automatic 2-Gear
25759,2022,Porsche,Taycan Turbo Compact 460 kW Automatic 2-Gear,Compact,460,A2,B,29.2,28.0,28.6,3.3,3.1,3.2,341,0,10,10,10.5,2022 Porsche Taycan Turbo Compact 460 kW Automatic 2-Gear
25760,2022,Porsche,Taycan Turbo Cross Turismo Mid-size 460 kW Automatic 2-Gear,Mid-size,460,A2,B,29.1,29.2,29.1,3.3,3.3,3.3,328,0,10,10,10.5,2022 Porsche Taycan Turbo Cross Turismo Mid-size 460 kW Automatic 2-Gear
25761,2022,Porsche,Taycan Turbo S Compact 460 kW Automatic 2-Gear,Compact,460,A2,B,30.2,29.5,29.9,3.4,3.3,3.4,323,0,10,10,10.5,2022 Porsche Taycan Turbo S Compact 460 kW Automatic 2-Gear
25762,2022,Porsche,Taycan Turbo S Cross Turismo Mid-size 460 kW Automatic 2-Gear,Mid-size,460,A2,B,28.5,28.7,28.6,3.2,3.2,3.2,325,0,10,10,10.5,2022 Porsche Taycan Turbo S Cross Turismo Mid-size 460 kW Automatic 2-Gear
25763,2022,Rivian,R1S Sport utility vehicle: Standard 650 kW Automatic 1-Gear,Sport utility vehicle: Standard,650,A1,B,28.7,32.1,30.2,3.2,3.6,3.4,509,0,10,10,13,2022 Rivian R1S Sport utility vehicle: Standard 650 kW Automatic 1-Gear
25764,2022,Rivian,R1T Pickup truck: Standard 650 kW Automatic 1-Gear,Pickup truck: Standard,650,A1,B,28.2,31.9,29.9,3.2,3.6,3.4,505,0,10,10,13,2022 Rivian R1T Pickup truck: Standard 650 kW Automatic 1-Gear
25765,2022,Tesla,Model 3 Standard Range Mid-size 191 kW Automatic 1-Gear,Mid-size,191,A1,B,17.8,19.5,18.6,2.0,2.2,2.1,146,0,10,10,3.7,2022 Tesla Model 3 Standard Range Mid-size 191 kW Automatic 1-Gear
25766,2022,Tesla,Model 3 RWD Mid-size 192 kW Automatic 1-Gear,Mid-size,192,A1,B,15.2,16.6,15.8,1.7,1.9,1.8,438,0,10,10,8.5,2022 Tesla Model 3 RWD Mid-size 192 kW Automatic 1-Gear
25767,2022,Tesla,Model 3 Long Range AWD Mid-size 293 kW Automatic 1-Gear,Mid-size,293,A1,B,15.6,16.6,16.0,1.8,1.9,1.8,576,0,10,10,10,2022 Tesla Model 3 Long Range AWD Mid-size 293 kW Automatic 1-Gear
25768,2022,Tesla,Model 3 Performance Mid-size 321 kW Automatic 1-Gear,Mid-size,321,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,507,0,10,10,10,2022 Tesla Model 3 Performance Mid-size 321 kW Automatic 1-Gear
25769,2022,Tesla,Model S Full-size 494 kW Automatic 1-Gear,Full-size,494,A1,B,16.9,18.3,17.5,1.9,2.1,2.0,652,0,10,10,15,2022 Tesla Model S Full-size 494 kW Automatic 1-Gear
25770,2022,Tesla,"Model S Plaid (19"" Wheels) Full-size 750 kW Automatic 1-Gear",Full-size,750,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,637,0,10,10,15,"2022 Tesla Model S Plaid (19"" Wheels) Full-size 750 kW Automatic 1-Gear"
25771,2022,Tesla,"Model S Plaid (21"" Wheels) Full-size 750 kW Automatic 1-Gear",Full-size,750,A1,B,20.4,21.2,20.8,2.3,2.4,2.3,560,0,10,10,15,"2022 Tesla Model S Plaid (21"" Wheels) Full-size 750 kW Automatic 1-Gear"
25772,2022,Tesla,Model X Sport utility vehicle: Standard 494 kW Automatic 1-Gear,Sport utility vehicle: Standard,494,A1,B,19.7,21.7,20.6,2.2,2.4,2.3,560,0,10,10,14,2022 Tesla Model X Sport utility vehicle: Standard 494 kW Automatic 1-Gear
25773,2022,Tesla,"Model X Plaid (20"" Wheels) Sport utility vehicle: Standard 750 kW Automatic 1-Gear",Sport utility vehicle: Standard,750,A1,B,20.4,22.5,21.4,2.3,2.5,2.4,536,0,10,10,14,"2022 Tesla Model X Plaid (20"" Wheels) Sport utility vehicle: Standard 750 kW Automatic 1-Gear"
25774,2022,Tesla,"Model X Plaid (22"" Wheels) Sport utility vehicle: Standard 750 kW Automatic 1-Gear",Sport utility vehicle: Standard,750,A1,B,22.3,23.8,22.9,2.5,2.7,2.6,500,0,10,10,14,"2022 Tesla Model X Plaid (22"" Wheels) Sport utility vehicle: Standard 750 kW Automatic 1-Gear"
25775,2022,Tesla,Model Y AWD Sport utility vehicle: Small 291 kW Automatic 1-Gear,Sport utility vehicle: Small,291,A1,B,16.3,18.1,17.1,1.8,2.0,1.9,449,0,10,10,9,2022 Tesla Model Y AWD Sport utility vehicle: Small 291 kW Automatic 1-Gear
25776,2022,Tesla,Model Y Long Range AWD Sport utility vehicle: Small 291 kW Automatic 1-Gear,Sport utility vehicle: Small,291,A1,B,16.5,17.9,17.2,1.9,2.0,1.9,531,0,10,10,10,2022 Tesla Model Y Long Range AWD Sport utility vehicle: Small 291 kW Automatic 1-Gear
25777,2022,Tesla,Model Y Performance Sport utility vehicle: Small 312 kW Automatic 1-Gear,Sport utility vehicle: Small,312,A1,B,18.2,19.8,18.9,2.0,2.2,2.1,488,0,10,10,10,2022 Tesla Model Y Performance Sport utility vehicle: Small 312 kW Automatic 1-Gear
25778,2022,Volkswagen,ID.4 Pro Sport utility vehicle: Small 150 kW Automatic 1-Gear,Sport utility vehicle: Small,150,A1,B,18.7,22.0,20.2,2.1,2.5,2.3,422,0,10,10,7.5,2022 Volkswagen ID.4 Pro Sport utility vehicle: Small 150 kW Automatic 1-Gear
25779,2022,Volkswagen,ID.4 AWD Pro Sport utility vehicle: Small 220 kW Automatic 1-Gear,Sport utility vehicle: Small,220,A1,B,21.0,23.2,22.0,2.4,2.6,2.5,394,0,10,10,7.5,2022 Volkswagen ID.4 AWD Pro Sport utility vehicle: Small 220 kW Automatic 1-Gear
25780,2022,Volvo,C40 Recharge Twin Sport utility vehicle: Small 300 kW Automatic 1-Gear,Sport utility vehicle: Small,300,A1,B,22.2,26.1,23.9,2.5,2.9,2.7,364,0,10,10,8,2022 Volvo C40 Recharge Twin Sport utility vehicle: Small 300 kW Automatic 1-Gear
25781,2022,Volvo,XC40 Recharge Twin Sport utility vehicle: Small 300 kW Automatic 1-Gear,Sport utility vehicle: Small,300,A1,B,22.8,26.6,24.5,2.6,3.0,2.8,359,0,10,10,8,2022 Volvo XC40 Recharge Twin Sport utility vehicle: Small 300 kW Automatic 1-Gear
25782,2023,Audi,e-tron 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear,Sport utility vehicle: Standard,300,A1,B,26.8,26.5,26.6,3.0,3.0,3.0,364,0,10,10,10,2023 Audi e-tron 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear
25783,2023,Audi,e-tron Sportback 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear,Sport utility vehicle: Standard,300,A1,B,27.3,26.2,26.8,3.1,2.9,3.0,362,0,10,10,10,2023 Audi e-tron Sportback 55 quattro Sport utility vehicle: Standard 300 kW Automatic 1-Gear
25784,2023,Audi,e-tron GT Compact 390 kW Automatic 2-Gear,Compact,390,A2,B,25.9,25.3,25.6,2.9,2.8,2.9,383,0,10,10,10.5,2023 Audi e-tron GT Compact 390 kW Automatic 2-Gear
25785,2023,Audi,RS e-tron GT Compact 475 kW Automatic 2-Gear,Compact,475,A2,B,26.4,25.5,26.0,3.0,2.9,2.9,373,0,10,10,10.5,2023 Audi RS e-tron GT Compact 475 kW Automatic 2-Gear
25786,2023,Audi,Q4 50 e-tron quattro Sport utility vehicle: Small 220 kW Automatic 1-Gear,Sport utility vehicle: Small,220,A1,B,21.5,24.0,22.6,2.4,2.7,2.5,380,0,10,10,9,2023 Audi Q4 50 e-tron quattro Sport utility vehicle: Small 220 kW Automatic 1-Gear
25787,2023,Audi,Q4 Sportback 50 e-tron quattro Sport utility vehicle: Small 220 kW Automatic 1-Gear,Sport utility vehicle: Small,220,A1,B,21.0,23.4,22.1,2.4,2.6,2.5,389,0,10,10,9,2023 Audi Q4 Sportback 50 e-tron quattro Sport utility vehicle: Small 220 kW Automatic 1-Gear
25788,2023,BMW,"i4 eDrive35 Gran Coupe (18"" Wheels) Subcompact 210 kW Automatic 1-Gear",Subcompact,210,A1,B,18.2,18.9,18.5,2.0,2.1,2.1,412,0,10,10,8,"2023 BMW i4 eDrive35 Gran Coupe (18"" Wheels) Subcompact 210 kW Automatic 1-Gear"
25789,2023,BMW,"i4 eDrive35 Gran Coupe (19"" Wheels) Subcompact 210 kW Automatic 1-Gear",Subcompact,210,A1,B,19.6,20.5,20.0,2.2,2.3,2.2,378,0,10,10,8,"2023 BMW i4 eDrive35 Gran Coupe (19"" Wheels) Subcompact 210 kW Automatic 1-Gear"
25790,2023,BMW,"i4 eDrive40 Gran Coupe (18"" Wheels) Subcompact 250 kW Automatic 1-Gear",Subcompact,250,A1,B,19.1,19.3,19.2,2.1,2.2,2.2,484,0,10,10,10,"2023 BMW i4 eDrive40 Gran Coupe (18"" Wheels) Subcompact 250 kW Automatic 1-Gear"
25791,2023,BMW,"i4 eDrive40 Gran Coupe (19"" Wheels) Subcompact 250 kW Automatic 1-Gear",Subcompact,250,A1,B,20.9,21.3,21.1,2.3,2.4,2.4,454,0,10,10,10,"2023 BMW i4 eDrive40 Gran Coupe (19"" Wheels) Subcompact 250 kW Automatic 1-Gear"
25792,2023,BMW,"i4 M50 Gran Coupe (19"" Wheels) Subcompact 400 kW Automatic 1-Gear",Subcompact,400,A1,B,22.3,21.4,21.9,2.5,2.4,2.5,436,0,10,10,10,"2023 BMW i4 M50 Gran Coupe (19"" Wheels) Subcompact 400 kW Automatic 1-Gear"
25793,2023,BMW,"i4 M50 Gran Coupe (20"" Wheels) Subcompact 400 kW Automatic 1-Gear",Subcompact,400,A1,B,26.4,26.1,26.3,3.0,2.9,3.0,365,0,10,10,10,"2023 BMW i4 M50 Gran Coupe (20"" Wheels) Subcompact 400 kW Automatic 1-Gear"
25794,2023,BMW,"i7 xDrive60 (19"" Wheels) Full-size 400 kW Automatic 1-Gear",Full-size,400,A1,B,24.0,22.9,23.5,2.7,2.6,2.6,512,0,10,10,12,"2023 BMW i7 xDrive60 (19"" Wheels) Full-size 400 kW Automatic 1-Gear"
25795,2023,BMW,"i7 xDrive60 (20"" Wheels) Full-size 400 kW Automatic 1-Gear",Full-size,400,A1,B,25.8,24.5,25.2,2.9,2.8,2.8,476,0,10,10,12,"2023 BMW i7 xDrive60 (20"" Wheels) Full-size 400 kW Automatic 1-Gear"
25796,2023,BMW,"i7 xDrive60 (21"" Wheels) Full-size 400 kW Automatic 1-Gear",Full-size,400,A1,B,24.5,23.5,24.1,2.8,2.6,2.7,496,0,10,10,12,"2023 BMW i7 xDrive60 (21"" Wheels) Full-size 400 kW Automatic 1-Gear"
25797,2023,BMW,"iX xDrive40 (20"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear",Sport utility vehicle: Standard,240,A1,B,25.1,25.6,25.3,2.8,2.9,2.8,322,0,10,10,8,"2023 BMW iX xDrive40 (20"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear"
25798,2023,BMW,"iX xDrive40 (21"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear",Sport utility vehicle: Standard,240,A1,B,24.7,25.9,25.2,2.8,2.9,2.8,322,0,10,10,8,"2023 BMW iX xDrive40 (21"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear"
25799,2023,BMW,"iX xDrive40 (22"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear",Sport utility vehicle: Standard,240,A1,B,24.8,25.9,25.3,2.8,2.9,2.8,320,0,10,10,8,"2023 BMW iX xDrive40 (22"" Wheels) Sport utility vehicle: Standard 240 kW Automatic 1-Gear"
25800,2023,BMW,"iX xDrive50 (20"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear",Sport utility vehicle: Standard,385,A1,B,24.3,24.2,24.2,2.7,2.7,2.7,521,0,10,10,12,"2023 BMW iX xDrive50 (20"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear"
25801,2023,BMW,"iX xDrive50 (21"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear",Sport utility vehicle: Standard,385,A1,B,25.4,25.1,25.3,2.9,2.8,2.8,496,0,10,10,12,"2023 BMW iX xDrive50 (21"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear"
25802,2023,BMW,"iX xDrive50 (22"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear",Sport utility vehicle: Standard,385,A1,B,24.3,24.5,24.4,2.7,2.8,2.7,512,0,10,10,12,"2023 BMW iX xDrive50 (22"" Wheels) Sport utility vehicle: Standard 385 kW Automatic 1-Gear"
25803,2023,BMW,"iX M60 (21"" Wheels) Sport utility vehicle: Standard 397 kW Automatic 1-Gear",Sport utility vehicle: Standard,397,A1,B,27.6,26.3,27.0,3.1,3.0,3.0,463,0,10,10,12,"2023 BMW iX M60 (21"" Wheels) Sport utility vehicle: Standard 397 kW Automatic 1-Gear"
25804,2023,BMW,"iX M60 (22"" Wheels) Sport utility vehicle: Standard 397 kW Automatic 1-Gear",Sport utility vehicle: Standard,397,A1,B,27.3,26.0,26.7,3.1,2.9,3.0,441,0,10,10,12,"2023 BMW iX M60 (22"" Wheels) Sport utility vehicle: Standard 397 kW Automatic 1-Gear"
25805,2023,Cadillac,LYRIQ Sport utility vehicle: Small 254 kW Automatic 1-Gear,Sport utility vehicle: Small,254,A1,B,21.6,25.6,23.4,2.4,2.9,2.6,502,0,10,10,6.5,2023 Cadillac LYRIQ Sport utility vehicle: Small 254 kW Automatic 1-Gear
25806,2023,Cadillac,LYRIQ AWD Sport utility vehicle: Small 373 kW Automatic 1-Gear,Sport utility vehicle: Small,373,A1,B,21.8,25.8,23.6,2.4,2.9,2.7,494,0,10,10,10.7,2023 Cadillac LYRIQ AWD Sport utility vehicle: Small 373 kW Automatic 1-Gear
25807,2023,Chevrolet,Bolt EUV Station wagon: Small 150 kW Automatic 1-Gear,Station wagon: Small,150,A1,B,16.8,20.1,18.3,1.9,2.3,2.1,397,0,10,10,7.5,2023 Chevrolet Bolt EUV Station wagon: Small 150 kW Automatic 1-Gear
25808,2023,Chevrolet,Bolt EV Station wagon: Small 150 kW Automatic 1-Gear,Station wagon: Small,150,A1,B,16.0,19.2,17.5,1.8,2.2,2.0,417,0,10,10,7.5,2023 Chevrolet Bolt EV Station wagon: Small 150 kW Automatic 1-Gear
25809,2023,Fisker,Ocean Extreme/One Sport utility vehicle: Standard 350 kW Automatic 1-Gear,Sport utility vehicle: Standard,350,A1,B,21.2,24.9,22.9,2.4,2.8,2.6,579,0,10,10,18,2023 Fisker Ocean Extreme/One Sport utility vehicle: Standard 350 kW Automatic 1-Gear
25810,2023,Fisker,Ocean Ultra Sport utility vehicle: Standard 350 kW Automatic 1-Gear,Sport utility vehicle: Standard,350,A1,B,21.8,25.6,23.5,2.5,2.9,2.6,563,0,10,10,18,2023 Fisker Ocean Ultra Sport utility vehicle: Standard 350 kW Automatic 1-Gear
25811,2023,Ford,F-150 Lightning Standard Range Pickup truck: Standard 318 kW Automatic 1-Gear,Pickup truck: Standard,318,A1,B,27.5,34.4,30.6,3.1,3.9,3.4,386,0,10,10,11.9,2023 Ford F-150 Lightning Standard Range Pickup truck: Standard 318 kW Automatic 1-Gear
25812,2023,Ford,F-150 Lightning Extended Range Pickup truck: Standard 420 kW Automatic 1-Gear,Pickup truck: Standard,420,A1,B,26.9,33.3,29.8,3.0,3.7,3.3,515,0,10,10,10.1,2023 Ford F-150 Lightning Extended Range Pickup truck: Standard 420 kW Automatic 1-Gear
25813,2023,Ford,F-150 Lightning Platinum Pickup truck: Standard 420 kW Automatic 1-Gear,Pickup truck: Standard,420,A1,B,28.7,35.0,31.5,3.2,3.9,3.5,483,0,10,10,9.3,2023 Ford F-150 Lightning Platinum Pickup truck: Standard 420 kW Automatic 1-Gear
25814,2023,Ford,Mustang Mach-E Standard Range Sport utility vehicle: Small 198 kW Automatic 1-Gear,Sport utility vehicle: Small,198,A1,B,19.0,21.9,20.3,2.1,2.5,2.3,397,0,10,10,8.1,2023 Ford Mustang Mach-E Standard Range Sport utility vehicle: Small 198 kW Automatic 1-Gear
25815,2023,Ford,Mustang Mach-E Standard Range (LFP) Sport utility vehicle: Small 198 kW Automatic 1-Gear,Sport utility vehicle: Small,198,A1,B,19.6,22.0,20.7,2.2,2.5,2.3,402,0,10,10,7.4,2023 Ford Mustang Mach-E Standard Range (LFP) Sport utility vehicle: Small 198 kW Automatic 1-Gear
25816,2023,Ford,Mustang Mach-E Standard Range AWD Sport utility vehicle: Small 198 kW Automatic 1-Gear,Sport utility vehicle: Small,198,A1,B,21.1,24.3,22.6,2.4,2.7,2.5,360,0,10,10,8,2023 Ford Mustang Mach-E Standard Range AWD Sport utility vehicle: Small 198 kW Automatic 1-Gear
25817,2023,Ford,Mustang Mach-E Standard Range AWD (LFP) Sport utility vehicle: Small 232 kW Automatic 1-Gear,Sport utility vehicle: Small,232,A1,B,21.5,24.0,22.6,2.4,2.7,2.5,370,0,10,10,7.4,2023 Ford Mustang Mach-E Standard Range AWD (LFP) Sport utility vehicle: Small 232 kW Automatic 1-Gear
25818,2023,Ford,Mustang Mach-E Extended Range Sport utility vehicle: Small 216 kW Automatic 1-Gear,Sport utility vehicle: Small,216,A1,B,19.9,22.7,21.1,2.2,2.5,2.4,500,0,10,10,10.2,2023 Ford Mustang Mach-E Extended Range Sport utility vehicle: Small 216 kW Automatic 1-Gear
25819,2023,Ford,Mustang Mach-E Extended Range AWD Sport utility vehicle: Small 258 kW Automatic 1-Gear,Sport utility vehicle: Small,258,A1,B,21.5,24.5,22.9,2.4,2.8,2.6,467,0,10,10,10,2023 Ford Mustang Mach-E Extended Range AWD Sport utility vehicle: Small 258 kW Automatic 1-Gear
25820,2023,Ford,Mustang Mach-E California Route 1 AWD Sport utility vehicle: Small 258 kW Automatic 1-Gear,Sport utility vehicle: Small,258,A1,B,20.0,22.9,21.3,2.3,2.6,2.4,502,0,10,10,10.1,2023 Ford Mustang Mach-E California Route 1 AWD Sport utility vehicle: Small 258 kW Automatic 1-Gear
25821,2023,Ford,Mustang Mach-E GT Performance Edition Sport utility vehicle: Small 358 kW Automatic 1-Gear,Sport utility vehicle: Small,358,A1,B,23.8,27.8,25.6,2.7,3.1,2.9,418,0,10,10,10.1,2023 Ford Mustang Mach-E GT Performance Edition Sport utility vehicle: Small 358 kW Automatic 1-Gear
25822,2023,Genesis,Electrified G80 Full-size 272 kW Automatic 1-Gear,Full-size,272,A1,B,19.9,23.6,21.7,2.2,2.6,2.4,454,0,10,10,9,2023 Genesis Electrified G80 Full-size 272 kW Automatic 1-Gear
25823,2023,Genesis,GV60 Advanced AWD Full-size 234 kW Automatic 1-Gear,Full-size,234,A1,B,20.3,24.2,22.1,2.3,2.7,2.5,399,0,10,10,7.2,2023 Genesis GV60 Advanced AWD Full-size 234 kW Automatic 1-Gear
25824,2023,Genesis,GV60 Performance AWD Full-size 320 kW Automatic 1-Gear,Full-size,320,A1,B,21.7,25.5,23.0,2.4,2.9,2.6,378,0,10,10,7.2,2023 Genesis GV60 Performance AWD Full-size 320 kW Automatic 1-Gear
25825,2023,Genesis,Electrified GV70 Sport utility vehicle: Small 320 kW Automatic 1-Gear,Sport utility vehicle: Small,320,A1,B,21.3,25.1,23.0,2.4,2.8,2.6,383,0,10,10,7.9,2023 Genesis Electrified GV70 Sport utility vehicle: Small 320 kW Automatic 1-Gear
25826,2023,Hyundai,IONIQ 5 Standard Range Full-size 125 kW Automatic 1-Gear,Full-size,125,A1,B,16.2,22.4,19.3,1.9,2.5,2.1,354,0,10,10,6.3,2023 Hyundai IONIQ 5 Standard Range Full-size 125 kW Automatic 1-Gear
25827,2023,Hyundai,IONIQ 5 Long Range Full-size 168 kW Automatic 1-Gear,Full-size,168,A1,B,15.5,21.7,18.6,1.8,2.4,2.1,488,0,10,10,8.5,2023 Hyundai IONIQ 5 Long Range Full-size 168 kW Automatic 1-Gear
25828,2023,Hyundai,IONIQ 5 Long Range AWD Full-size 239 kW Automatic 1-Gear,Full-size,239,A1,B,18.9,23.5,21.0,2.1,2.6,2.4,422,0,10,10,8.5,2023 Hyundai IONIQ 5 Long Range AWD Full-size 239 kW Automatic 1-Gear
25829,2023,Hyundai,IONIQ 6 Standard Range Mid-size 111 kW Automatic 1-Gear,Mid-size,111,A1,B,13.7,17.4,15.5,1.6,2.0,1.7,386,0,10,10,6.1,2023 Hyundai IONIQ 6 Standard Range Mid-size 111 kW Automatic 1-Gear
25830,2023,Hyundai,IONIQ 6 Long Range (18'' Wheels) Mid-size 168 kW Automatic 1-Gear,Mid-size,168,A1,B,13.7,16.2,14.9,1.5,1.9,1.7,581,0,10,10,7.5,2023 Hyundai IONIQ 6 Long Range (18'' Wheels) Mid-size 168 kW Automatic 1-Gear
25831,2023,Hyundai,IONIQ 6 Long Range AWD (18'' Wheels) Mid-size 239 kW Automatic 1-Gear,Mid-size,239,A1,B,16.2,18.6,17.4,1.8,2.1,1.9,509,0,10,10,7.5,2023 Hyundai IONIQ 6 Long Range AWD (18'' Wheels) Mid-size 239 kW Automatic 1-Gear
25832,2023,Hyundai,IONIQ 6 Long Range AWD (20'' Wheels) Mid-size 239 kW Automatic 1-Gear,Mid-size,239,A1,B,18.8,22.4,20.5,2.1,2.5,2.3,435,0,10,10,7.5,2023 Hyundai IONIQ 6 Long Range AWD (20'' Wheels) Mid-size 239 kW Automatic 1-Gear
25833,2023,Hyundai,Kona Electric Sport utility vehicle: Small 150 kW Automatic 1-Gear,Sport utility vehicle: Small,150,A1,B,15.5,19.9,17.4,1.8,2.2,2.0,415,0,10,10,9.5,2023 Hyundai Kona Electric Sport utility vehicle: Small 150 kW Automatic 1-Gear
25834,2023,Jaguar,I-PACE Sport utility vehicle: Small 294 kW Automatic 1-Gear,Sport utility vehicle: Small,294,A1,B,24.5,26.7,25.5,2.7,3.0,2.9,381,0,10,10,13,2023 Jaguar I-PACE Sport utility vehicle: Small 294 kW Automatic 1-Gear
25835,2023,Kia,EV6 Standard Range Station wagon: Small 125 kW Automatic 1-Gear,Station wagon: Small,125,A1,B,15.5,21.1,18.0,1.7,2.4,2.0,373,0,10,10,6.3,2023 Kia EV6 Standard Range Station wagon: Small 125 kW Automatic 1-Gear
25836,2023,Kia,EV6 Long Range Station wagon: Small 168 kW Automatic 1-Gear,Station wagon: Small,168,A1,B,15.5,20.5,18.0,1.8,2.3,2.0,499,0,10,10,8.7,2023 Kia EV6 Long Range Station wagon: Small 168 kW Automatic 1-Gear
25837,2023,Kia,"EV6 Long Range AWD (19"" Wheels) Station wagon: Small 239 kW Automatic 1-Gear",Station wagon: Small,239,A1,B,17.5,21.5,19.3,2.0,2.4,2.2,454,0,10,10,8.4,"2023 Kia EV6 Long Range AWD (19"" Wheels) Station wagon: Small 239 kW Automatic 1-Gear"
